"latitude","longitude"
44.0156184,1.3560855
44.0154392,1.3539397
44.0127710,1.3563917
44.0225632,1.3582108
44.0206604,1.3500856
43.9099999,1.3280260
43.8947180,1.3281592
43.8978731,1.3239449
43.2368673,3.2739035
43.2464973,3.2938113
43.6019953,1.3841702
43.6102738,1.3455121
43.6076839,1.3714445
43.9807613,1.3302530
43.9834844,1.3343336
43.9831058,1.3339060
43.9939188,1.3754734
44.0052978,1.3838091
44.0249481,1.3929290
44.0158303,1.3551834
44.0182712,1.3547230
44.0156982,1.3535404
44.0160103,1.3557650
43.6085306,1.4321816
45.7682290,3.0583677
41.8563343,9.3995323
43.6008656,1.4407696
44.0420676,1.3679143
43.9931618,1.3371992
43.5876159,1.4473774
43.5895262,1.4460486
44.0179560,1.3566610
44.0176590,1.3576910
44.0086091,1.3757693
43.5986243,1.3531400
44.0193247,1.3562979
44.0165380,1.3552750
44.0167809,1.3540561
43.4806272,-1.5625400
43.5707661,1.3127787
44.0330330,1.2105650
48.8796631,2.3473652
44.0378399,1.3863343
43.6056303,2.2418942
44.0161107,1.3555827
44.0180889,1.3549464
44.0380129,1.3582832
45.7788611,3.0804150
45.7739412,3.0856348
43.4901390,5.3519040
41.3751805,2.1388596
44.1470295,1.7236391
43.6067404,1.3507153
47.9568670,0.2086440
44.0183476,1.3547323
43.3044440,-0.4025794
43.6047823,2.2397868
43.6060587,2.2424092
43.7403567,1.3726370
44.0127680,1.3681950
43.8282318,1.2941840
38.1420659,-7.4480868
44.0173558,1.3542138
44.0077675,1.3430095
44.2770085,2.4329594
44.0056581,1.3550621
44.0232038,1.3453132
43.9926085,1.3370613
44.0180173,1.3539382
43.9146957,2.1092784
44.0642474,1.0983275
43.8999061,1.4566293
44.2403574,-1.1197928
43.6043051,1.4505865
43.6066422,1.4519215
43.6014895,1.4572516
43.5994106,1.4411037
43.6051828,1.4468576
43.6035334,1.4484124
43.5840656,1.4931645
45.7702805,3.0864636
45.7731077,3.0773781
44.8909288,1.2148452
43.3951890,3.6928960
44.0294252,1.3692976
44.0391276,1.3835414
43.9136423,1.3143303
44.0175596,1.3545621
44.0209461,1.3594348
43.8645460,1.5043630
43.6568995,1.3011936
43.6727473,1.2882201
43.7011177,1.3058296
44.0174986,1.3561502
44.0310249,1.3735761
44.0044185,1.3478756
43.8825728,1.3716796
44.0057136,1.3421540
44.0123205,1.3632375
44.3133603,4.9496790
44.0181808,1.3555333
44.0164526,1.3449282
43.9874819,1.3302499
43.8260670,1.2966526
43.8304733,1.2980626
44.0384087,1.3829360
43.9927412,1.3370260
45.4367541,4.3826360
44.6634917,-1.1639703
44.0414276,1.3626989
44.0628018,1.5062788
43.9883933,1.3348324
43.9159154,1.2721431
44.0391363,1.3831377
43.6617274,-1.4285194
43.6798268,-1.4400710
44.0895746,1.3482055
43.6404806,-1.4383600
43.6360448,-1.4385038
50.4089096,1.5608165
46.3189936,-0.4694562
46.3210508,-0.4623030
46.3256722,-0.4519986
44.0960352,1.0848064
44.1001854,1.0825387
44.0998373,1.0858951
44.1031500,1.0857691
43.7652284,1.2983394
43.7720141,1.2919855
44.8267831,-0.5489878
44.0487974,1.3260271
43.9398622,1.2404796
43.9183277,1.3675539
44.0109940,1.3549788
48.0872116,2.4833223
48.0747260,2.4281290
43.9790144,1.4209026
43.9459154,1.2365950
43.9571712,1.2286947
43.8960443,1.2360410
43.9341148,1.5856361
44.0174778,1.3539546
43.6068965,1.4308983
43.5951460,1.4324420
44.0336032,1.3749962
44.0223159,1.3547457
44.0189168,1.3635829
43.1063660,3.0848748
43.9414874,1.4019758
43.9179756,1.3673843
43.6506558,1.3677120
44.0066914,1.3432512
42.5749394,2.0691272
47.3942730,0.6897910
48.8069444,2.0530556
40.6474954,14.4106068
40.6409292,14.4072701
40.6346276,14.3953988
43.6101361,1.3339414
44.0182046,1.3480375
43.9931099,1.3682976
43.9102501,1.4418542
43.5981348,1.4443236
44.0315200,1.3696100
43.9190646,1.3674086
43.9186891,1.3675424
44.9385110,1.6082432
44.9219805,1.5558466
44.8935976,1.4776335
44.4298506,-1.1746615
42.8067979,3.0370052
43.6061101,1.4472879
44.0420434,1.3872556
43.9844444,1.3313578
43.9185684,1.3984039
42.4811152,3.1290115
42.4826215,3.1288237
43.5415444,1.3275734
44.0375290,1.3846677
44.0170066,1.3547943
44.0346346,1.3693837
43.7802552,1.4052399
51.5159908,-0.1247508
48.0792084,7.3590450
44.0165172,1.3550464
43.9871332,1.3279026
44.0366695,1.2225586
44.8398539,-0.5797813
43.6668019,1.5149293
44.0185546,1.3553908
44.2381744,1.4764354
44.2385579,1.4762602
44.2538872,1.4915135
42.6975975,2.8851862
42.6992192,2.8866740
42.6996695,2.8943951
42.7005621,2.8913870
42.7001684,2.8937455
42.7017473,2.8959348
44.0179292,1.3537623
43.9897842,1.3303400
43.5908416,3.8562548
43.5298500,1.4031100
43.4976370,1.3486010
43.5106375,1.3695702
43.5142404,1.3871472
43.5219971,1.4079149
44.0179598,1.3514206
44.1301917,1.2397659
44.0351390,1.3768026
44.0168920,1.3578610
44.0003487,1.3537278
44.0159854,1.3560818
44.0170326,1.3537915
49.8909898,2.3054338
43.9150227,1.3684365
43.9185547,1.3666358
43.8973833,1.1345839
43.8999485,1.1344487
43.9193827,1.1209496
43.8229444,1.1359333
44.0417563,1.2409799
44.0343042,1.2172529
44.0159863,1.3561982
44.0724668,1.5226022
44.0174515,1.3400752
45.9395702,4.7147287
44.2566354,1.1381839
48.8643553,2.5877194
43.3538682,1.2743027
43.3466312,1.2546971
43.2960682,1.2219243
47.4733171,-0.5539791
45.6176311,-0.2188106
44.0389098,1.3572008
43.0984993,5.8513609
46.1532060,-1.1740170
46.1645833,-1.2051492
46.1523973,-1.1887517
43.7795105,1.6332301
44.0597702,1.4094280
45.1458340,1.4836050
45.1532981,1.5193357
45.1565162,1.5272075
45.1644447,1.5048612
45.1576138,1.5308300
43.5762965,1.4551937
43.5981485,1.4194912
43.6426636,1.4146057
43.6149010,1.4377939
43.6050296,1.4435260
43.6006213,1.4445356
43.5948121,1.4189016
43.6083094,1.3953580
43.6271583,1.4328233
43.6051910,1.4483785
43.6062736,1.4829859
43.6614617,1.4318042
43.5675070,1.3923860
